id_viewed;race_viewed;channel_viewed;unique_social_media_handles;province_viewed;gender_viewed;age_viewed;most_viewed_channel;duration_time
1;black;1;1;Eastern Cape;male;23;E! Entertainment;2025-11-18T01:19:36.000Z
1;black;1;1;Limpopo;male;38;Africa Magic;2025-11-18T01:19:25.000Z
1;None;1;1;Mpumalanga;male;34;ICC Cricket World Cup 2011;2025-11-18T01:19:08.000Z
1;black;1;1;Gauteng;male;21;Trace TV;2025-11-18T01:19:06.000Z
1;None;1;1;Western Cape;male;31;Supersport Live Events;2025-11-18T01:19:04.000Z
1;black;1;1;Gauteng;male;42;ICC Cricket World Cup 2011;2025-11-18T01:18:48.000Z
1;black;1;1;Kwazulu Natal;male;43;Trace TV;2025-11-18T01:18:24.000Z
1;black;1;1;Gauteng;male;57;CNN;2025-11-18T01:18:22.000Z
1;white;1;1;Kwazulu Natal;male;45;CNN;2025-11-18T01:18:06.000Z
1;indian_asian;1;1;Limpopo;male;31;ICC Cricket World Cup 2011;2025-11-18T01:17:44.000Z
1;black;1;1;Gauteng;male;31;Supersport Live Events;2025-11-18T01:17:32.000Z
1;indian_asian;1;1;Free State;male;46;Supersport Live Events;2025-11-18T01:17:14.000Z
1;black;1;1;Kwazulu Natal;male;30;Channel O;2025-11-18T01:17:06.000Z
1;black;1;1;Free State;male;21;ICC Cricket World Cup 2011;2025-11-18T01:16:40.000Z
1;None;1;1;None;None;0;Channel O;2025-11-18T01:16:30.000Z
1;coloured;1;1;Western Cape;male;36;Trace TV;2025-11-18T01:16:15.000Z
1;black;1;1;Gauteng;female;32;Channel O;2025-11-18T01:16:12.000Z
1;None;1;1;Gauteng;male;43;Supersport Live Events;2025-11-18T01:16:12.000Z
1;black;1;1;Kwazulu Natal;male;28;Supersport Live Events;2025-11-18T01:15:44.000Z
1;white;1;1;Mpumalanga;male;24;ICC Cricket World Cup 2011;2025-11-18T01:15:24.000Z
1;black;1;1;Gauteng;male;25;Trace TV;2025-11-18T01:15:06.000Z
1;coloured;1;1;Western Cape;male;33;Supersport Live Events;2025-11-18T01:15:00.000Z
1;indian_asian;1;1;Limpopo;male;35;Supersport Live Events;2025-11-18T01:14:50.000Z
1;white;1;1;Gauteng;male;24;Supersport Live Events;2025-11-18T01:14:40.000Z
1;indian_asian;1;1;Kwazulu Natal;male;22;Trace TV;2025-11-18T01:14:24.000Z
1;black;1;1;Gauteng;male;22;Channel O;2025-11-18T01:13:57.000Z
1;black;1;1;Eastern Cape;male;25;Trace TV;2025-11-18T01:13:51.000Z
1;black;1;1;Gauteng;female;43;Channel O;2025-11-18T01:13:36.000Z
1;indian_asian;1;1;Gauteng;male;31;Supersport Live Events;2025-11-18T01:13:32.000Z
1;black;1;1;Mpumalanga;female;23;Trace TV;2025-11-18T01:13:00.000Z
1;black;1;1;Gauteng;male;30;Channel O;2025-11-18T01:12:57.000Z
1;indian_asian;1;1;Mpumalanga;male;33;Supersport Live Events;2025-11-18T01:12:46.000Z
